id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
333,327614,899,116
334,327646,746,109
335,328059,901,152
336,329398,904,83
337,329421,906,98
338,329674,917,104
339,329674,917,101
340,329674,917,102
341,329674,917,103
342,33044,170,131
343,330659,927,40
344,333223,926,152
345,33485,39,108
346,33570,64,83
347,33572,157,84
348,337437,928,78
349,337613,64,83
350,337614,60,79
351,337876,930,128
352,338075,931,85
353,338083,933,113
354,338084,934,109
355,338088,936,133
356,338089,534,115
357,33808,148,163
358,338511,938,84
359,338555,158,46
360,34170,104,112
361,344177,947,126
362,34687,143,74
363,348318,948,136
364,348319,949,112
365,35160,129,97
366,352519,951,133
367,352540,952,132
368,352541,953,119
369,352541,953,120
370,352541,953,118
371,352541,953,117
372,352968,957,99
373,352969,958,97
374,352970,959,98
375,352973,964,113
376,352994,960,20
377,352995,961,24
378,352996,962,20
379,352997,963,20
380,35337,136,55
381,35444,183,97
382,35787,309,132
383,359617,969,115
384,360741,970,43
385,360744,971,73
386,364465,972,119
387,364465,972,117
388,364465,972,118
389,364465,972,116
390,364994,1159,27
391,364995,1160,27
392,364996,1161,27
393,364997,1162,27
394,364998,1163,27
395,364999,1164,27
396,365000,1165,27
397,365001,1166,27
398,365002,1167,27
399,365003,1168,27
400,365004,1169,27
401,365005,1170,27
402,365006,1171,27
403,365007,1172,27
404,365008,1173,27
405,365009,1174,27
406,365427,974,41
407,365428,975,73
408,366584,1008,96
409,367215,977,82
410,367216,978,84
411,372814,991,128
412,372815,992,131
413,378006,994,126
414,378007,993,126
415,37829,5,57
416,386841,997,123
417,387408,998,140
418,388178,971,72
419,388763,1000,151
420,389572,1006,132
421,389573,1007,127
422,390438,1015,108
423,390880,1014,126
424,390881,104,136
425,391153,1024,20
426,391154,1020,24
427,391155,1021,22
428,391156,1022,24
429,391157,1023,24
430,391281,1016,19
431,391425,1019,64
432,391425,1019,63
433,391425,1019,65
434,391445,1018,51
435,39226,177,79
436,39255,86,119
437,39255,86,118
438,392846,1026,126
439,392847,1027,126
440,393517,1029,172
441,393518,1030,172
442,393519,1031,174
443,393520,1032,174
444,393521,1033,174
445,393522,1034,175
446,393523,1035,166
447,393524,1036,174
448,393525,1037,171
449,393526,1038,171
450,393527,1306,183
451,393528,1307,183
452,393529,1313,182
453,393530,1301,182
454,393531,1294,191
455,393532,1324,193
456,393533,1291,184
457,393534,1299,195
458,393537,1300,195
459,393538,1308,181
460,393539,1310,179
461,393540,1309,181
462,393541,1311,180
463,393542,1312,181
464,393543,1314,189
465,393544,1315,187
466,393545,1316,189
467,393546,1318,187
468,393547,1319,188
469,393548,1320,189
470,393549,1296,186
471,393550,1303,187
472,393551,1321,189
473,393552,1322,189
474,393553,1304,187
475,393555,1039,165
476,393556,1040,165
477,393676,1041,118
478,393676,1041,119
479,393677,1042,122
480,393678,1043,122
481,394989,1078,117
482,395138,58,85
483,396308,1069,104
484,396308,1069,103
485,396309,1076,66
486,396310,1070,74
487,397298,1058,174
488,397299,1059,174
489,397300,1060,171
490,397301,1061,174
491,397302,1062,172
492,397303,1063,172
493,397304,1064,170
494,397305,1065,175
495,397306,1066,175
496,397804,1068,102
497,397804,1068,103
498,397804,1068,105
499,39780,59,79
500,39798,74,69
501,398861,1071,96
502,398862,1072,99
503,398863,1073,97
504,398864,1074,99
505,398865,1075,77
506,407199,1117,58
507,407200,1097,90
508,407201,1098,90
509,407203,1100,48
510,407204,1101,82
511,407205,1102,85
512,407206,1103,81
513,407207,1104,91
514,407209,1105,91
515,407210,1106,94
516,407211,1107,84
517,407212,1109,94
518,407213,1110,94
519,407214,1111,91
520,407215,1112,91
521,407217,1120,57
522,407218,1114,90
523,407219,1108,73
524,407834,1118,47
525,430062,1323,193
526,430063,1292,187
527,433396,1151,174
528,436935,1153,140
529,43899,106,77
530,43901,114,77
531,442645,1154,153
532,442646,1155,153
533,442647,1156,153
534,443549,1157,151
535,446382,1158,108
536,446876,1175,27
537,450114,1187,121
538,450117,1182,127
539,450119,1183,132
540,450120,1184,125
541,450122,1186,134
542,450199,1060,171
543,451700,1200,181
