idEstudioNormalizadoBI,EstudioNormalizadoBI,idCurso
1008,Estudios en Seguridad Internacional,366584
977,Economía de la Salud,367215
978,Protocolo y Eventos,367216
991,Máster de F.P. en Full Stack Developer,372814
992,Máster de F.P. en Ecología Urbana e Infraestructura Verde,372815
994,Máster de F.P. en Acompañamiento Educativo,378006
993,Máster de F.P. en Trastornos y Dificultades de Aprendizaje,378007
5,Adaptación Ingeniería Informática,37829
997,Máster de F.P. en Legaltech,386841
998,Nuevas Técnicas de Reproducción Bovina,387408
971,Gestión del Patrimonio Cultural y Natural,388178
1000,Especialización en Neuropsicología y Educación,388763
1006,Máster de F.P. en Marketing y Comercialización del Sector Agroalimentario,389572
1007,Máster de F.P. en Transformación Digital e Innovación en el Sector Agroalimentario,389573
1015,"Executive Máster en Dirección de Supply Chain, Operaciones y Logística",390438
1014,C.U. en Dificultades de Aprendizaje,390880
104,E.U. en Trastornos por Déficit de Atención e Hiperactividad (TDAH),390881
1024,Maestría en Dirección de Recursos Humanos,391153
1020,Maestría en Gestión Tributaria,391154
1021,Maestría en Marketing Digital (Newman),391155
1022,Maestría en Dirección Pública,391156
1023,Maestría en Derecho Penal,391157
1016,Maestría en Educación (Newman),391281
1019,Ciencias de la Actividad Física y del Deporte,391425
1019,Ciencias de la Actividad Física y del Deporte,391425
1019,Ciencias de la Actividad Física y del Deporte,391425
1018,Adaptación en Recursos Humanos y Relaciones Laborales,391445
177,Periodismo de datos,39226
86,E.U. en Ecografía Musculoesqueletica,39255
86,E.U. en Ecografía Musculoesqueletica,39255
1026,E.U. en Preceptuación y Asesoramiento Académico Personal,392846
1027,Innovación en Educación Infantil,392847
1029,Maestría en Comunicación y Marketing Político,393517
1030,Maestría en Gestión de Riesgos Financieros,393518
1031,Maestría en CC Computacionales y Matemáticas Aplicadas,393519
1032,Maestría en Diseño Gráfico Digital,393520
1033,Maestría en Dirección y Gestión de las Tecnologías de la Información,393521
1034,Maestría en Derechos Humanos,393522
1035,Licenciatura en Criminología,393523
1036,"Maestría en Diseño Industrial, Innovación y Desarrollo de Producto",393524
1037,Maestría en Métodos de Enseñanza en Educación Personalizada,393525
1038,Maestría en Enseñanza del Inglés,393526
1306,Ingeniería en Informática con especialización de Software,393527
1307,Ingeniería en Informática con especialización en Videojuegos,393528
1313,Licenciatura en Diseño de Videojuegos,393529
1301,Licenciatura en Realización y Animación 3D,393530
1294,Maestría en Ingeniería Sanitaria con especialización en Aguas Residuales,393531
1324,Maestría en Inteligencia Artificial (Internaciones),393532
1291,Licenciatura en Psicología,393533
1299,Maestría en Intervención en Psicología Clínica,393534
1300,Maestría en Psicoterapia: Terapias de 3ª Generación,393537
1308,Licenciatura en Administración Aduanera y Comercio Exterior,393538
1310,Licenciatura en Administración de Empresas (Internaciones),393539
1309,Licenciatura en Administración Industrial y Financiera,393540
1311,Licenciatura en Administración Pública,393541
1312,Licenciatura en Contaduría Pública y Auditoría,393542
1314,Maestría en Administración Aduanera,393543
1315,Maestría en Administración de la Seguridad Social - MSS,393544
1316,Maestría en Administración Financiera,393545
1318,Maestría en Ciencias Actuariales,393546
1319,Maestría en Dirección y Políticas Públicas,393547
1320,Maestría en Finanzas y Tributación,393548
1296,Maestría en Business Intelligence and Data Analytics,393549
1303,Maestría en Marketing Digital (Internaciones),393550
1321,Maestría en Normas Internacionales de Información Financiera - NIIF,393551
1322,Maestría en Tributación,393552
1304,Maestría en Administración y Dirección de Empresas (MBA),393553
1039,Licenciatura en Ingeniería Industrial Administrativa,393555
1040,Licenciatura en Ingeniería en Sistemas Computacionales,393556
1041,E.U. en Inteligencia Artificial en Diagnóstico Clínico por Imagen,393676
1041,E.U. en Inteligencia Artificial en Diagnóstico Clínico por Imagen,393676
1042,Cirugía Oral y Prótesis Implantosoportada,393677
1043,"Estética Dental, Odontología Restauradora y Flujo Digital",393678
1078,Máster de F.P. en Medicina Estética,394989
58,MBA,395138
1069,Cuidados Paliativos,396308
1069,Cuidados Paliativos,396308
1076,Logopedia,396309
1070,Musicología,396310
1058,Maestría en Logística y Transporte,397298
1059,Maestría en Industria 4.0,397299
1060,Maestría en Atención a las Necesidades Educativas del Desarrollo,397300
1061,Maestría en Gestión Ambiental y Eficiencia Energética,397301
1062,Maestría en Negocios Internacionales y Comercio Exterior,397302
1063,Maestría en Gerencia Comercial y Ventas,397303
1064,"Maestría en Didáctica de la Ciencia, Tecnología, Ingeniería y Matemáticas",397304
1065,Maestría en Derecho Fiscal,397305
1066,Maestría en Derecho Procesal Penal,397306
1068,Estudios Nutricionales de Precisión y Epidemiología Nutricional,397804
1068,Estudios Nutricionales de Precisión y Epidemiología Nutricional,397804
1068,Estudios Nutricionales de Precisión y Epidemiología Nutricional,397804
59,Dirección de Procesos Estratégicos,39780
74,Doctorado,39798
1071,Análisis y Prevención de la Corrupción,398861
1072,Delincuencia Juvenil e Intervención con Menores,398862
1073,Derecho de Consumo para el Comercio Electrónico,398863
1074,Investigación Criminal,398864
1075,Docencia Superior Universitaria,398865
1117,Diseño y Desarrollo Videojuegos,407199
1097,Diseño y desarrollo de la Interfaz de usuario,407200
1098,Realidad Extendida,407201
1100,Economía,407203
1101,Economía Internacional ,407204
1102,MiM - Gestión de empresas,407205
1103,Transformación Digital en la empresa,407206
1104,Energías Alternativas y Renovables,407207
1105,Gemelos Digitales,407209
1106,IA en el Sector de la Energía y las Infraestructuras,407210
1107,Innovación en la Experiencia del Cliente,407211
1109,Computación cuántica,407212
1110,Salud Digital,407213
1111,Seguridad Alimentaria,407214
1112,Ingeniería de las Telecomunicaciones,407215
1120,Ciberseguridad,407217
1114,Herramientas y Tecnologías para el Diseño de Espacios Arquitectónicos inteligentes ,407218
1108,Danza,407219
1118,Gestión Logística,407834
1323,Maestría en Visual Analytics y Big Data,430062
1292,Maestría en Gestión y Dirección del Talento Humano,430063
1151,Maestría en Prevención de Riesgos Laborales,433396
1153,Medicina Interna de Pequeños Animales,436935
106,Educación Bilingüe,43899
114,Enseñanza del Español,43901
1154,Especialización en Seguridad Informática,442645
1155,Especialización en Visual Analytics y Big Data,442646
1156,Especialización en Ingeniería de Software,442647
1157,Especialización en Gerencia Educativa,443549
1158,Security Operation Center (SOC),446382
1175,Programa en Soft Skills y Habilidades Directivas,446876
1187,Máster de F.P. en Resolución de Problemas Complejos,450114
1182,Formación Permanente en Digital Business,450117
1183,Máster de F.P. en Enoturismo,450119
1184,Máster de F.P. en Relaciones Internacionales,450120
1186,Máster de F.P. en Terapia Asistida con Animales,450122
1060,Maestría en Atención a las Necesidades Educativas del Desarrollo,450199
1200,Programa de Actualización Licenciatura Contaduría Pública y Auditoría,451700
1295,Maestría en Ingeniería Sanitaria con Especialización en Desechos Sólidos,451750
58,MBA,452341
1216,Especialización en Industria 4.0 ,452676
1217,C.U. Fútbol Terapéutico,453468
1218,Máster de F.P. en Altas Capacidades y Desarrollo del Talento,453717
1242,Nutrición Humana y Dietética,454016
1242,Nutrición Humana y Dietética,454016
1242,Nutrición Humana y Dietética,454016
